NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION,FULL_DESCRIPTION,TARGET
US Census Bureau,5001 to 10000 Employees,"Suitland, MD",Federal Agencies,3.9,4.3,3.6,4.0,3.3,3.9,3.0,2223,"At the US Bureau of the Census, people count. The Census Bureau is in the business of recording almost everything about the nation's citizens. As a division of the US Department of Commerce, the Census Bureau crunches and publishes statistical information collected every 10 years about the nation's economy, geography, and people, including housing statistics, community profiles, and education data. Known for tomes such as the Statistical Abstract of the United States, much of the agency's data is also available through its online product, American FactFinder, which also provides links to US and world population clocks.", ,"At the US Bureau of the Census, people count. The Census Bureau is in the business of recording almost everything about the nation's citizens. As a division of the US Department of Commerce, the Census Bureau crunches and publishes statistical information collected every 10 years about the nation's economy, geography, and people, including housing statistics, community profiles, and education data. Known for tomes such as the Statistical Abstract of the United States, much of the agency's data is also available through its online product, American FactFinder, which also provides links to US and world population clocks. ",1
KBR,10000+ Employees,"Houston, TX",Energy,3.8,3.8,3.6,3.8,3.3,3.7,3.4,1755,"Kellogg Brown & Root (KBR) is a global provider of differentiated professional services and technologies across the asset and program life cycle within the Government Services and Hydrocarbons sectors. KBR employs approximately 34,000 people worldwide (including our joint ventures), with customers in more than 80 countries, and operations in 40 countries, across three synergistic global businesses: Government Services, Technology & Consulting and Engineering & Construction.

KBR is proud to work with its customers across the globe to provide technology, value-added consulting services, integrated EPC delivery and Long Term Industrial Services to ensure consistent project delivery with predictable results. At KBR, We Deliver.", ,"Kellogg Brown & Root (KBR) is a global provider of differentiated professional services and technologies across the asset and program life cycle within the Government Services and Hydrocarbons sectors. KBR employs approximately 34,000 people worldwide (including our joint ventures), with customers in more than 80 countries, and operations in 40 countries, across three synergistic global businesses: Government Services, Technology & Consulting and Engineering & Construction.

KBR is proud to work with its customers across the globe to provide technology, value-added consulting services, integrated EPC delivery and Long Term Industrial Services to ensure consistent project delivery with predictable results. At KBR, We Deliver. ",0
Under Armour,10000+ Employees,"Baltimore, MD",Sporting Goods Stores,3.8,4.0,3.7,3.5,3.2,3.2,3.1,1661,"Under Armour is proving its mettle as an apparel warrior. Since its foray into the sports apparel market, the maker of performance athletic undies and apparel has risen to the top of the industry pack, boasting a big portion of the compression garment market. It is gaining a foothold in footwear, too. As of 2011, Under Armour is the official footwear supplier of MLB. Specializing in sport-specific garments, the company dresses its consumers from head (COLDGEAR) to toe (Team Sock). Most products are made from its moisture-wicking and heat-dispersing fabrics, able to keep athletes dry during workouts. Under Armour sells its products online, by catalog, and in more than 23,000 sporting goods stores worldwide.", ,"Under Armour is proving its mettle as an apparel warrior. Since its foray into the sports apparel market, the maker of performance athletic undies and apparel has risen to the top of the industry pack, boasting a big portion of the compression garment market. It is gaining a foothold in footwear, too. As of 2011, Under Armour is the official footwear supplier of MLB. Specializing in sport-specific garments, the company dresses its consumers from head (COLDGEAR) to toe (Team Sock). Most products are made from its moisture-wicking and heat-dispersing fabrics, able to keep athletes dry during workouts. Under Armour sells its products online, by catalog, and in more than 23,000 sporting goods stores worldwide. ",0
"Discovery, Inc.",10000+ Employees,"New York, NY",TV Broadcast & Cable Networks,3.8,3.8,3.7,3.6,3.3,3.9,3.3,1395,"Discovery is the global leader in real life entertainment, serving passionate fans around the world with content that inspires, informs and entertains. Discovery delivers over 8,000 hours of original programming each year across deeply loved content genres.

Available in 220 countries and territories and 50 languages, Discovery is a platform innovator, reaching viewers on all screens and services, from linear, free-to-air and pay–TV channels to digital products and streaming services, to social and mobile-first content and formats. Discovery’s portfolio of premium brands includes Discovery Channel, HGTV, Food Network, TLC, Investigation Discovery, Travel Channel, Turbo/Velocity, Animal Planet, and Science Channel, as well as OWN: Oprah Winfrey Network in the U.S., Discovery Kids in Latin America, and Eurosport, the leading provider of locally relevant, premium sports and Home of the Olympic Games across Europe.  ", ,"Discovery is the global leader in real life entertainment, serving passionate fans around the world with content that inspires, informs and entertains. Discovery delivers over 8,000 hours of original programming each year across deeply loved content genres.

Available in 220 countries and territories and 50 languages, Discovery is a platform innovator, reaching viewers on all screens and services, from linear, free-to-air and pay–TV channels to digital products and streaming services, to social and mobile-first content and formats. Discovery’s portfolio of premium brands includes Discovery Channel, HGTV, Food Network, TLC, Investigation Discovery, Travel Channel, Turbo/Velocity, Animal Planet, and Science Channel, as well as OWN: Oprah Winfrey Network in the U.S., Discovery Kids in Latin America, and Eurosport, the leading provider of locally relevant, premium sports and Home of the Olympic Games across Europe.   ",0
Eastman,10000+ Employees,"Kingsport, TN",Chemical Manufacturing,3.8,3.7,3.7,3.7,3.3,3.9,3.5,1805,"Who We Are
• A global specialty materials company headquartered in Kingsport, Tennessee
• Approximately 14,500 employees and 50 manufacturing sites in 16 countries; serving customers in approximately 100 countries
• A globally inclusive and diverse company
• A company dedicated to environmental stewardship, social responsibility and economic growth
o 2020 Ethisphere’s World’s Most Ethical ® Companies (6th time)
o 2019 ENERGY STAR Partner of the Year (8th time)
o 2018 American Chemistry Council’s Responsible Care® Efficiency Award
o 2019 revenue of $9.3 billion

Eastman fosters a culture of inclusion and diversity, steeped in teamwork and team member involvement. The company provides competitive compensation and benefits through a performance-driven culture, determined to attract, retain, reward, and engage world-class employees.

And to provide a healthy work-life balance, Eastman also provides services that address the entire continuum of your health and safety. With a focus on lifestyle, recreation, condition management, and preventative care, there are plenty of opportunities for employees to find programs to meet their individual needs and actively manage their health.

At Eastman, we work hard at having the right people, with the right skills, working on the right things, in the right environment. To do that, the company invests in individual growth through training, mentorship, and development opportunities.

For more information, visit www.eastman.com.", ,"Who We Are
• A global specialty materials company headquartered in Kingsport, Tennessee
• Approximately 14,500 employees and 50 manufacturing sites in 16 countries; serving customers in approximately 100 countries
• A globally inclusive and diverse company
• A company dedicated to environmental stewardship, social responsibility and economic growth
o 2020 Ethisphere’s World’s Most Ethical ® Companies (6th time)
o 2019 ENERGY STAR Partner of the Year (8th time)
o 2018 American Chemistry Council’s Responsible Care® Efficiency Award
o 2019 revenue of $9.3 billion

Eastman fosters a culture of inclusion and diversity, steeped in teamwork and team member involvement. The company provides competitive compensation and benefits through a performance-driven culture, determined to attract, retain, reward, and engage world-class employees.

And to provide a healthy work-life balance, Eastman also provides services that address the entire continuum of your health and safety. With a focus on lifestyle, recreation, condition management, and preventative care, there are plenty of opportunities for employees to find programs to meet their individual needs and actively manage their health.

At Eastman, we work hard at having the right people, with the right skills, working on the right things, in the right environment. To do that, the company invests in individual growth through training, mentorship, and development opportunities.

For more information, visit www.eastman.com. ",0
UBS,10000+ Employees,"Zürich, Switzerland",Investment Banking & Asset Management,3.8,3.9,3.7,3.7,3.3,3.5,3.6,7380,"COVID-19 update: We're still hiring! From our recruitment process to our onboarding experience – it's safe for all and virtual for roles and locations that require it. Even while sitting apart, we are one team.

UBS works with individuals, families, institutions, and corporations around the world to help answer some of life's questions – whether through award winning wealth management advisory, investment banking and asset management expertise, or private and corporate banking services in Switzerland*.

We're a team of more than 60,000 colleagues, collaborating across all major financial centers in more than 50 countries**. We strive for excellence in everything we do, and this has awarded us recognition across our businesses. We offer a collaborative, international and diverse working environment that rewards passion, commitment and success – and are regularly recognized as an attractive employer.*

Find out more about UBS: ubs.com
*Our awards: ubs.com/awards

** As at 31 December 2017
Social Media Legal Terms: ubs.com/social-legal", ,"COVID-19 update: We're still hiring! From our recruitment process to our onboarding experience – it's safe for all and virtual for roles and locations that require it. Even while sitting apart, we are one team.

UBS works with individuals, families, institutions, and corporations around the world to help answer some of life's questions – whether through award winning wealth management advisory, investment banking and asset management expertise, or private and corporate banking services in Switzerland*.

We're a team of more than 60,000 colleagues, collaborating across all major financial centers in more than 50 countries**. We strive for excellence in everything we do, and this has awarded us recognition across our businesses. We offer a collaborative, international and diverse working environment that rewards passion, commitment and success – and are regularly recognized as an attractive employer.*

Find out more about UBS: ubs.com
*Our awards: ubs.com/awards

** As at 31 December 2017
Social Media Legal Terms: ubs.com/social-legal ",0
Topgolf,10000+ Employees,"Dallas, TX",Sports & Recreation,3.8,4.3,4.1,3.5,3.4,3.6,3.7,1592,"At Topgolf, each venue features fun and competitive golf games for all ages, climate-controlled playing bays for year-round comfort, an impressive food and drink menu, private spaces for groups of any size, HDTVs to watch the big game and a music selection that will make every visit feel like a party.

Toptracer Range delivers the same ball-tracking technology that traces the shots of the games best players on TV. Driving ranges equipped with Toptracer Range technology offer a fun, engaging, tech-driven experience that appeals to seasoned players, range rivals, friends, family members, and even first-time golfers.

Topgolf Swing Suite features a high-energy, interactive sports and social atmosphere that is changing the face of golf. The newest extension of Topgolf combines a simulated Topgolf experience with the luxurious atmospheres of hospitality and entertainment venues.

World Golf Tour is the most realistic free online golf game, loved by more than 15 million players across the globe.", ,"At Topgolf, each venue features fun and competitive golf games for all ages, climate-controlled playing bays for year-round comfort, an impressive food and drink menu, private spaces for groups of any size, HDTVs to watch the big game and a music selection that will make every visit feel like a party.

Toptracer Range delivers the same ball-tracking technology that traces the shots of the games best players on TV. Driving ranges equipped with Toptracer Range technology offer a fun, engaging, tech-driven experience that appeals to seasoned players, range rivals, friends, family members, and even first-time golfers.

Topgolf Swing Suite features a high-energy, interactive sports and social atmosphere that is changing the face of golf. The newest extension of Topgolf combines a simulated Topgolf experience with the luxurious atmospheres of hospitality and entertainment venues.

World Golf Tour is the most realistic free online golf game, loved by more than 15 million players across the globe. ",1
Kiewit Corporation,10000+ Employees,"Omaha, NE",Construction,3.8,3.6,3.7,2.7,3.4,3.9,4.0,1850,"Kiewit offers construction and design engineering services across North America. Our construction and design engineering professionals build and design some of the industry’s most complex, challenging and rewarding projects. Our teams help deliver the safe transportation, clean drinking water, and reliable energy solutions our communities depend on, and much more. Kiewit people tackle important projects of every size, in any market. Start your Kiewit adventure today at kiewitjobs.com.

Kiewit is one of North America’s largest and most respected construction and engineering organizations. With its roots dating back to 1884, the employee-owned organization operates through a network of subsidiaries in the United States, Canada, and Mexico. Kiewit offers construction and engineering services in a variety of markets including transportation; oil, gas and chemical; power; building; water/wastewater; industrial; and mining. Kiewit had 2019 revenues of $10.3 billion and employs 23,000 staff and craft employees.","Mission: Kiewit offers an experience that no other employer can touch. We hire the best people to work on some of the most important projects in the industry. From the beginning, you’ll be part of a team that impacts and improves lives every day. Our employees have a strong sense of pride because their work matters. We expect your best and we will provide you the tools to achieve and build upon that, including expansive training programs and advancement opportunities that are directly based on your contributions. Simply put, you will not find a more challenging and personally rewarding career anywhere else.","Kiewit offers construction and design engineering services across North America. Our construction and design engineering professionals build and design some of the industry’s most complex, challenging and rewarding projects. Our teams help deliver the safe transportation, clean drinking water, and reliable energy solutions our communities depend on, and much more. Kiewit people tackle important projects of every size, in any market. Start your Kiewit adventure today at kiewitjobs.com.

Kiewit is one of North America’s largest and most respected construction and engineering organizations. With its roots dating back to 1884, the employee-owned organization operates through a network of subsidiaries in the United States, Canada, and Mexico. Kiewit offers construction and engineering services in a variety of markets including transportation; oil, gas and chemical; power; building; water/wastewater; industrial; and mining. Kiewit had 2019 revenues of $10.3 billion and employs 23,000 staff and craft employees.Mission: Kiewit offers an experience that no other employer can touch. We hire the best people to work on some of the most important projects in the industry. From the beginning, you’ll be part of a team that impacts and improves lives every day. Our employees have a strong sense of pride because their work matters. We expect your best and we will provide you the tools to achieve and build upon that, including expansive training programs and advancement opportunities that are directly based on your contributions. Simply put, you will not find a more challenging and personally rewarding career anywhere else.",0
Extended Stay America,5001 to 10000 Employees,"Charlotte, NC","Hotels, Motels, & Resorts",3.8,3.8,3.7,3.4,3.6,3.7,3.9,1511,"With over 75,000 rooms in 600+ hotels, Extended Stay America has emerged as the category leader with the largest distribution of extended-stay properties in the United States.

The Extended Stay America brand, provides a quality lodging experience, offering affordable nightly, weekly, and extended stay rates designed for both short-term and extended travel. The hotels in the collection accommodate the needs of both short-term guests and those who require temporary housing or interim relocation.

Extended Stay America features quality, modern studio suites with separate living, dining and sleeping areas, plenty of work space and a fully equipped kitchens including stovetops, refrigerators and microwave ovens. Properties include conveniences such as free in-room wireless high-speed internet access, free voice mail, as well as leisure facilities such as pools* and fitness facilities.* (*site specific)","Mission: Extended Stay exists to care for people who are building a better future for themselves and their families!

We offer our associates a great Company building itself an even better future, a great job with tools and training to be successful and a great environment to build yourself a lasting career.","With over 75,000 rooms in 600+ hotels, Extended Stay America has emerged as the category leader with the largest distribution of extended-stay properties in the United States.

The Extended Stay America brand, provides a quality lodging experience, offering affordable nightly, weekly, and extended stay rates designed for both short-term and extended travel. The hotels in the collection accommodate the needs of both short-term guests and those who require temporary housing or interim relocation.

Extended Stay America features quality, modern studio suites with separate living, dining and sleeping areas, plenty of work space and a fully equipped kitchens including stovetops, refrigerators and microwave ovens. Properties include conveniences such as free in-room wireless high-speed internet access, free voice mail, as well as leisure facilities such as pools* and fitness facilities.* (*site specific)Mission: Extended Stay exists to care for people who are building a better future for themselves and their families!

We offer our associates a great Company building itself an even better future, a great job with tools and training to be successful and a great environment to build yourself a lasting career.",0
"Randstad US
Part of Randstad",1001 to 5000 Employees,"Atlanta, GA",Staffing & Outsourcing,3.8,4.1,3.7,3.6,3.5,3.5,3.6,3419,"Randstad is the global leader in the HR services industry. We support people and organizations in realizing their true potential. We do this by combining the power of today’s technology with our passion for people. We call it Human Forward. Our services range from regular temporary Staffing and permanent placements to Inhouse Services, Professionals, and HR Solutions. Randstad is active in 38 countries around the world. In 2018, Randstad had on average 38,820 corporate employees and 4,826 branches and Inhouse locations. In 2018, Randstad generated revenue of € 23.8 billion and holds the world’s number one position in its industry since November 2018. Randstad was founded in 1960 and is headquartered in Diemen, the Netherlands. Randstad N.V. is listed on the NYSE Euronext Amsterdam, where options for stocks in Randstad are also traded. For more information, see https://www.randstad.com/.","Mission: When you let Randstad US handle your job search, you get the support of one of the world’s largest staffing firms every step of the way. Our recruiters have the resources to find a job that’s right for you. We combine our passion for people with the power of today’s latest technologies to find opportunities that fit your skills in environments where you can thrive. Whether you're looking for a temporary or permanent position, our focus is on you. https://www.randstadusa.com/","Randstad is the global leader in the HR services industry. We support people and organizations in realizing their true potential. We do this by combining the power of today’s technology with our passion for people. We call it Human Forward. Our services range from regular temporary Staffing and permanent placements to Inhouse Services, Professionals, and HR Solutions. Randstad is active in 38 countries around the world. In 2018, Randstad had on average 38,820 corporate employees and 4,826 branches and Inhouse locations. In 2018, Randstad generated revenue of € 23.8 billion and holds the world’s number one position in its industry since November 2018. Randstad was founded in 1960 and is headquartered in Diemen, the Netherlands. Randstad N.V. is listed on the NYSE Euronext Amsterdam, where options for stocks in Randstad are also traded. For more information, see https://www.randstad.com/.Mission: When you let Randstad US handle your job search, you get the support of one of the world’s largest staffing firms every step of the way. Our recruiters have the resources to find a job that’s right for you. We combine our passion for people with the power of today’s latest technologies to find opportunities that fit your skills in environments where you can thrive. Whether you're looking for a temporary or permanent position, our focus is on you. https://www.randstadusa.com/",1
"American Income Life
Part of Globe Life",10000+ Employees,"Waco, TX",Insurance Carriers,3.8,4.3,3.9,3.3,3.9,3.8,4.0,3432,"American Income Life is an international company protecting working families in the United States, Canada, New Zealand, and through our wholly-owned subsidiary, National Income Life Insurance Company in New York.

American Income Life Insurance Company has served working class families since 1951 with life, accident, and supplemental health products to help protect members of labor unions, credit unions, associations and their families. AIL representatives develop longterm relationships with clients and meet them where they are most comfortable ... their home.","Mission: Since 1951, American Income Life has operated in the spirit of ‘Be Union – Buy Union.’ Wherever and whenever there is an opportunity to further the cause of labor, we are the first in line. From the representatives in the field who write an application, to the administrative staff at the Corporate Office, all the way up to the CEO, everything is done under the union label ... and we wouldn’t have it any other way.","American Income Life is an international company protecting working families in the United States, Canada, New Zealand, and through our wholly-owned subsidiary, National Income Life Insurance Company in New York.

American Income Life Insurance Company has served working class families since 1951 with life, accident, and supplemental health products to help protect members of labor unions, credit unions, associations and their families. AIL representatives develop longterm relationships with clients and meet them where they are most comfortable ... their home.Mission: Since 1951, American Income Life has operated in the spirit of ‘Be Union – Buy Union.’ Wherever and whenever there is an opportunity to further the cause of labor, we are the first in line. From the representatives in the field who write an application, to the administrative staff at the Corporate Office, all the way up to the CEO, everything is done under the union label ... and we wouldn’t have it any other way.",1
"Dignity Health
Part of CommonSpirit",10000+ Employees,"San Francisco, CA",Health Care Services & Hospitals,3.8,3.9,3.7,3.5,3.1,4.0,3.5,1797,"Dignity Health, one of the nation’s largest health care systems, is a 22-state network of more than 9,000 physicians, 62,000 employees, and 400 care centers, including hospitals, urgent and occupational care, imaging centers, home health, and primary care clinics. Headquartered in San Francisco, Dignity Health is dedicated to providing compassionate, high-quality, and affordable patient-centered care with special attention to the poor and underserved. In FY16, Dignity Health provided $2.2 billion in charitable care and services.","Mission: We are committed to furthering the healing ministry of Jesus. We dedicate our resources to:
• Delivering compassionate, high-quality, affordable health services
• Serving and advocating for our sisters and brothers who are poor and disenfranchised
• Partnering with other in the community to improve the quality of life","Dignity Health, one of the nation’s largest health care systems, is a 22-state network of more than 9,000 physicians, 62,000 employees, and 400 care centers, including hospitals, urgent and occupational care, imaging centers, home health, and primary care clinics. Headquartered in San Francisco, Dignity Health is dedicated to providing compassionate, high-quality, and affordable patient-centered care with special attention to the poor and underserved. In FY16, Dignity Health provided $2.2 billion in charitable care and services.Mission: We are committed to furthering the healing ministry of Jesus. We dedicate our resources to:
• Delivering compassionate, high-quality, affordable health services
• Serving and advocating for our sisters and brothers who are poor and disenfranchised
• Partnering with other in the community to improve the quality of life",0
Nationwide,10000+ Employees,"Columbus, OH",Insurance Carriers,3.8,4.3,3.9,3.8,3.4,3.6,3.4,3678,"Nationwide is one of America’s most diversified financial services organizations. We’re trusted advisers for our members, offering solutions like home and auto insurance, life insurance, retirement savings tools, business insurance and pet insurance.

We set ourselves apart from other companies by offering a breadth of solutions unmatched in our industry. And how do we accomplish it all? By hiring and retaining associates who are as driven as you.", ,"Nationwide is one of America’s most diversified financial services organizations. We’re trusted advisers for our members, offering solutions like home and auto insurance, life insurance, retirement savings tools, business insurance and pet insurance.

We set ourselves apart from other companies by offering a breadth of solutions unmatched in our industry. And how do we accomplish it all? By hiring and retaining associates who are as driven as you. ",1
Aon,10000+ Employees,"London, United Kingdom",Insurance Agencies & Brokerages,3.8,4.2,3.7,3.6,3.3,3.4,3.4,4287,"Aon plc (NYSE:AON) is a leading global professional services firm providing a broad range of risk, retirement and health solutions. Our 50,000 colleagues in 120 countries empower results for clients by using proprietary data and analytics to deliver insights that reduce volatility and improve performance.", ,"Aon plc (NYSE:AON) is a leading global professional services firm providing a broad range of risk, retirement and health solutions. Our 50,000 colleagues in 120 countries empower results for clients by using proprietary data and analytics to deliver insights that reduce volatility and improve performance. ",1
"Anthropologie
Part of Urban Outfitters",5001 to 10000 Employees,"Philadelphia, PA","Department, Clothing, & Shoe Stores",3.8,3.2,3.5,3.5,3.3,3.3,3.1,2709,"Anthropologie is a lifestyle brand that imparts a sense of beauty, optimism and discovery to our customer. For her, Anthropologie is an escape from the everyday; it is a source of inspiration and delight, where innovative merchandising, customer centricity and a curated array of products come together to create an unimagined experience.

Anthropologie products are an expression of our customer's appreciation for artfulness and good design. To that end, our buyers and designers travel the world to uncover special products and to collaborate with talented artisans. Our assortment includes clothing, accessories, shoes, beauty, home furnishings, found objects, gifts and d&eacute;cor that exhibit influences ranging from vintage to global.

Founded in 1992, Anthropologie currently operates stores worldwide. The brand launched its mail-order catalog and website in 1998; eleven years later, its first international stores opened in Canada and UK.", ,"Anthropologie is a lifestyle brand that imparts a sense of beauty, optimism and discovery to our customer. For her, Anthropologie is an escape from the everyday; it is a source of inspiration and delight, where innovative merchandising, customer centricity and a curated array of products come together to create an unimagined experience.

Anthropologie products are an expression of our customer's appreciation for artfulness and good design. To that end, our buyers and designers travel the world to uncover special products and to collaborate with talented artisans. Our assortment includes clothing, accessories, shoes, beauty, home furnishings, found objects, gifts and d&eacute;cor that exhibit influences ranging from vintage to global.

Founded in 1992, Anthropologie currently operates stores worldwide. The brand launched its mail-order catalog and website in 1998; eleven years later, its first international stores opened in Canada and UK. ",0
Synechron,10000+ Employees,"New York, NY",IT Services,3.8,3.7,3.7,3.6,3.5,3.8,3.7,1807,"Synechron is a leading Digital Transformation consulting firm focused on the financial services industry and is working to Accelerate Digital initiatives for banks, asset managers, and insurance companies around the world. Synechron uniquely delivers these firms end-to-end Digital, Consulting, and Technology capabilities with expertise in wholesale banking, wealth management, and insurance as well as emerging technologies like Blockchain, Artificial Intelligence, and Data Science. Based in New York, the company has 22 offices around the globe, with over 10,000 employees producing over $650M in annual revenue.","Mission: 'Accelerating Digital’ as a brand reinforces Synechron’s mission to be the leading digital transformation consulting firm for the financial services industry and its ongoing commitment to Accelerate Digital initiatives for Financial Services, particularly given digital transformation is one of the top challenges global banks have placed on their business agendas, to be supported by increased spend in technology.","Synechron is a leading Digital Transformation consulting firm focused on the financial services industry and is working to Accelerate Digital initiatives for banks, asset managers, and insurance companies around the world. Synechron uniquely delivers these firms end-to-end Digital, Consulting, and Technology capabilities with expertise in wholesale banking, wealth management, and insurance as well as emerging technologies like Blockchain, Artificial Intelligence, and Data Science. Based in New York, the company has 22 offices around the globe, with over 10,000 employees producing over $650M in annual revenue.Mission: 'Accelerating Digital’ as a brand reinforces Synechron’s mission to be the leading digital transformation consulting firm for the financial services industry and its ongoing commitment to Accelerate Digital initiatives for Financial Services, particularly given digital transformation is one of the top challenges global banks have placed on their business agendas, to be supported by increased spend in technology.",0
Jacobs,10000+ Employees,"Dallas, TX",Architectural & Engineering Services,3.8,4.2,3.8,3.8,3.4,3.5,3.6,3820,"We deliver impactful global solutions to create a more connected, sustainable world — from intelligence to infrastructure, cybersecurity to space exploration. Our 52,000 employees across 50 countries work every day, challenging the expectations of today to reinvent the way we’ll all live tomorrow.", ,"We deliver impactful global solutions to create a more connected, sustainable world — from intelligence to infrastructure, cybersecurity to space exploration. Our 52,000 employees across 50 countries work every day, challenging the expectations of today to reinvent the way we’ll all live tomorrow. ",1
Huron Consulting Group,1001 to 5000 Employees,"Chicago, IL",Consulting,4.1,4.0,4.2,3.9,3.8,3.9,3.8,950,"Huron is a global consultancy that helps our clients drive growth, enhance performance and sustain leadership in the markets they serve. We partner with them to develop strategies and implement solutions that enable the transformative change our clients need to own their future.

Our mission is to enable organizations to improve fundamental performance, reinvent their business, generate new growth platforms and lead their people through transformational change.", ,"Huron is a global consultancy that helps our clients drive growth, enhance performance and sustain leadership in the markets they serve. We partner with them to develop strategies and implement solutions that enable the transformative change our clients need to own their future.

Our mission is to enable organizations to improve fundamental performance, reinvent their business, generate new growth platforms and lead their people through transformational change. ",0
Walt Disney Company,10000+ Employees,"Burbank, CA",Motion Picture Production & Distribution,4.1,4.3,4.2,3.6,3.5,3.9,3.7,7415,"The monarch of this magic kingdom is no man but a mouse -- Mickey Mouse. The Walt Disney Company is the world's largest media conglomerate, with assets encompassing movies, television, publishing, and theme parks. Its Disney/ABC Television Group includes the ABC television network and 10 broadcast stations, as well as a portfolio of cable networks including ABC Family, Disney Channel, and ESPN (80%-owned). Walt Disney Studios produces films through imprints Walt Disney Pictures, Disney Animation, and Pixar, and its Marvel Entertainment is a top comic book publisher and film producer. In addition, Walt Disney Parks and Resorts operates the company's popular theme parks including Walt Disney World and Disneyland.", ,"The monarch of this magic kingdom is no man but a mouse -- Mickey Mouse. The Walt Disney Company is the world's largest media conglomerate, with assets encompassing movies, television, publishing, and theme parks. Its Disney/ABC Television Group includes the ABC television network and 10 broadcast stations, as well as a portfolio of cable networks including ABC Family, Disney Channel, and ESPN (80%-owned). Walt Disney Studios produces films through imprints Walt Disney Pictures, Disney Animation, and Pixar, and its Marvel Entertainment is a top comic book publisher and film producer. In addition, Walt Disney Parks and Resorts operates the company's popular theme parks including Walt Disney World and Disneyland. ",1
ServiceNow,10000+ Employees,"Santa Clara, CA",Enterprise Software & Network Solutions,4.1,4.4,4.1,3.8,3.9,4.2,3.9,1322,"At ServiceNow, we make the world of work, work better for people. We deliver digital workflows that create great experiences and unlock productivity.

With 6,900+ customers, we serve ~80% of the Fortune 500. And we are #1 on the 2020 list of FORTUNE® Future 50. This is the future of work.

Explore your future career with us, visit www.servicenow.com/careers.", ,"At ServiceNow, we make the world of work, work better for people. We deliver digital workflows that create great experiences and unlock productivity.

With 6,900+ customers, we serve ~80% of the Fortune 500. And we are #1 on the 2020 list of FORTUNE® Future 50. This is the future of work.

Explore your future career with us, visit www.servicenow.com/careers. ",1
"Universal Studios
Part of NBCUniversal",10000+ Employees,"Universal City, CA",Motion Picture Production & Distribution,4.1,4.4,4.0,3.7,3.4,4.0,3.7,1163,"Movies and theme parks are the center of Universal Studios' universe. The company's Universal Pictures produces and distributes mainstream movies ( Bridesmaids ), while its Focus Features produces smaller films ( Hanna ). Universal Studios also operates theme parks such as Universal Studios Hollywood and Universal Studios Orlando through Universal Parks & Resorts . Its Universal Studios Home Entertainment unit handles the marketing and distribution of DVDs from its 4,000-film library. Universal Studios operates as part of NBCUniversal (NBCU).", ,"Movies and theme parks are the center of Universal Studios' universe. The company's Universal Pictures produces and distributes mainstream movies ( Bridesmaids ), while its Focus Features produces smaller films ( Hanna ). Universal Studios also operates theme parks such as Universal Studios Hollywood and Universal Studios Orlando through Universal Parks & Resorts . Its Universal Studios Home Entertainment unit handles the marketing and distribution of DVDs from its 4,000-film library. Universal Studios operates as part of NBCUniversal (NBCU). ",1
"Experian
Hiring Surge",10000+ Employees,"Dublin, Ireland",Financial Analytics & Research,4.1,4.3,4.2,3.9,3.8,4.0,3.8,3427,"Experian is the leading global information services company, providing data and analytical tools to our clients around the world. Data has the potential to transform lives and create a better tomorrow. We are transforming data into something meaningful: helping businesses to manage credit risk, preventing fraud, targeting marketing offers and automating decision making. We have been named one of the “World’s Most Innovative Companies” by Forbes for 3 years in a row. Experian has operated at the center of Big Data since before the phrase was coined. Few companies can offer information services on an equivalent scale. Experian is a constituent of the United Kingdom's FTSE 100 index, with total revenue for the year ended March 31, 2016, of US $4.6 billion. We support clients in more than 80 countries and employ approximately 17,000 people in 37 countries.","Mission: We help to give our customers the power to assess, predict and to plan so you may achieve your goals and navigate your world with confidence. Our expertise in data, analytics and technologies, means we give answers, we create coherence and clarity from complexity.

We believe data has the power to transform lives and societies for the better.","Experian is the leading global information services company, providing data and analytical tools to our clients around the world. Data has the potential to transform lives and create a better tomorrow. We are transforming data into something meaningful: helping businesses to manage credit risk, preventing fraud, targeting marketing offers and automating decision making. We have been named one of the “World’s Most Innovative Companies” by Forbes for 3 years in a row. Experian has operated at the center of Big Data since before the phrase was coined. Few companies can offer information services on an equivalent scale. Experian is a constituent of the United Kingdom's FTSE 100 index, with total revenue for the year ended March 31, 2016, of US $4.6 billion. We support clients in more than 80 countries and employ approximately 17,000 people in 37 countries.Mission: We help to give our customers the power to assess, predict and to plan so you may achieve your goals and navigate your world with confidence. Our expertise in data, analytics and technologies, means we give answers, we create coherence and clarity from complexity.

We believe data has the power to transform lives and societies for the better.",1
